url;Jumlah Data
http://lpse.payakumbuhkota.go.id/eproc4;1,478
http://lpse.pekalongankota.go.id/eproc4;1,538
https://lpse.pekanbaru.go.id/eproc4;3,376
http://203.176.182.190/eproc4;1,195
https://lpse.pontianakkota.go.id/eproc4;2,295
http://lpse.kotaprabumulih.go.id/eproc4;2,101
https://lpse.probolinggokota.go.id/eproc4;858
https://lpse.sabangkota.go.id/eproc4;1,048
https://lpse.salatiga.go.id/eproc4;1,803
http://lpse.samarindakota.go.id/eproc4;3,832
http://lpse.sawahluntokota.go.id/eproc4;792
http://lpse.semarangkota.go.id/eproc4;4,749
https://lpse.serangkota.go.id/eproc4;1,809
http://lpse.sibolgakota.go.id/eproc4;496
http://lpse.singkawangkota.go.id/eproc4;1,515
http://lpse.solokkota.go.id/eproc4;1,087
http://103.152.37.126/eproc4;506
http://lpse.subulussalamkota.go.id/eproc4;1,173
http://lpse.sungaipenuhkota.go.id/eproc4;1,615
https://lpse.surabaya.go.id/eproc4;10,095
https://lpse.surakarta.go.id/eproc4;3,089
https://lpse.tangerangkota.go.id/eproc4;8,281
https://lpse.tangerangselatankota.go.id/eproc4;5,216
http://lpse.tanjungbalaikota.go.id/eproc4;457
http://lpse.tanjungpinangkota.go.id/eproc4;904
http://lpse.tarakankota.go.id/eproc4;1,91
http://lpse.tasikmalayakota.go.id/eproc4;3,341
https://lpse.tebingtinggikota.go.id/eproc4;787
https://lpse.tegalkota.go.id/eproc4;1,705
http://lpse.ternatekota.go.id/eproc4;2,252
http://lpse.tidorekota.go.id/eproc4;1,577
http://lpse.tomohon.go.id/eproc4;1,199
http://lpse.tualkota.go.id/eproc4;1,152
http://lpse.jogjakota.go.id/eproc4;4,169
https://lpse.lkpp.go.id/eproc4;5,964
https://lpse.mahkamahagung.go.id/eproc4;4,649
http://lpse.pasarjaya.co.id/eproc4;80
http://lpse.pdam-makassar.com/eproc4;108
https://lpse.pu.go.id/eproc4;59,891
https://lpse.kemenkeu.go.id/eproc4;27,345
http://lpse.aceh.polri.go.id/eproc4;717
http://lpse.bali.polri.go.id/eproc4;1,006
http://lpse.banten.polri.go.id/eproc4;811
http://lpse.polri.go.id/eproc4;12,685
http://lpse.jogja.polri.go.id/eproc4;
http://lpse.gorontalo.polri.go.id/eproc4;481
http://lpse.jambi.polri.go.id/eproc4;389
http://lpse.jabar.polri.go.id/eproc4;1,756
http://lpse.jateng.polri.go.id/eproc4;2,723
http://lpse.jatim.polri.go.id/eproc4;2,636
http://lpse.kalbar.polri.go.id/eproc4;652
http://lpse.kalsel.polri.go.id/eproc4;589
http://lpse.kalteng.polri.go.id/eproc4;594
http://lpse.kaltim.polri.go.id/eproc4;644
http://lpse.kepriprov.go.id/eproc4;7,93
http://lpse.lampung.polri.go.id/eproc4;1,118
http://lpse.maluku.polri.go.id/eproc4;355
http://lpse.malut.polri.go.id/eproc4;341
http://lpse.ntb.polri.go.id/eproc4;773
http://lpse.ntt.polri.go.id/eproc4;247
http://lpse.papua.polri.go.id/eproc4;409
http://lpse.riau.polri.go.id/eproc4;
http://lpse.sulsel.polri.go.id/eproc4;597
http://lpse.sulteng.polri.go.id/eproc4;406
http://lpse.sulut.polri.go.id/eproc4;302
https://lpse.sumbar.polri.go.id/eproc4;214
